district,anomaly_score,is_anomaly,crime_rate_per_100k,crime_severity_score
Belgaum,0.0985,0,229.17,115.68
Bagalkot,0.1516,0,229.06,132.64
Bidar,0.2002,0,323.13,137.78
Raichur,0.1794,0,276.25,132.0
Koppal,0.2071,0,274.28,129.12
Gadag,0.1626,0,290.11,150.52
Dharwad,0.2716,0,631.86,251.05
Uttara Kannada,0.1968,0,343.86,130.54
Haveri,0.128,0,264.6,117.86
Bellary,0.0646,0,287.16,157.75
Chitradurga,0.1577,0,410.41,165.55
Davanagere,0.0084,0,348.24,159.05
Shimoga,0.2196,0,570.93,252.93
Udupi,0.5121,1,307.74,142.02
Chikmagalur,0.1865,0,453.45,185.32
Tumkur,0.1266,0,358.49,167.48
Bangalore,1.0,1,4863.46,1469.31
Mandya,0.0466,0,389.06,194.52
Hassan,0.1894,0,419.48,190.58
Dakshina Kannada,0.3739,1,366.35,170.33
Mysore,0.2003,0,482.47,211.97
Chamarajanagar,0.1074,0,294.27,151.42
Gulbarga,0.1285,0,335.13,155.9
Yadgir,0.435,1,197.5,100.89
Kolar,0.0,0,387.75,159.67
Chikkaballapura,0.3075,0,461.5,183.77
Bangalore Rural,0.3695,1,755.92,123.62
Ramanagara,0.3212,0,733.17,265.14
