district,total_population,population_density,crime_rate_per_100k,literacy_pct,female_ratio,urban_pct,population_growth,crime_growth_rate,economic_activity_index,crime_severity_score,normalized_crime_index,hotspot_score
Belgaum,3722999,123.6,229.17,60.45,0.492,4.15,1.25,29.39,46.61,115.68,0.0068,10.97
Bagalkot,1334568,133.1,229.06,54.86,0.4967,3.2,1.25,30.64,45.97,132.64,0.0068,12.49
Bidar,1289247,133.06,323.13,57.99,0.4901,0.92,1.25,5.12,44.26,137.78,0.0269,12.89
Raichur,1471830,134.21,276.25,46.26,0.5007,2.27,1.25,32.79,50.14,132.0,0.0169,14.65
Koppal,1174001,132.51,274.28,56.51,0.4958,1.51,1.25,85.91,48.92,129.12,0.0165,12.52
Gadag,685261,122.54,290.11,62.7,0.4928,0.0,1.25,82.05,50.59,150.52,0.0198,11.94
Dharwad,797484,124.06,631.86,62.94,0.4866,0.0,1.25,36.89,51.06,251.05,0.0931,17.58
Uttara Kannada,1085019,111.31,343.86,73.3,0.4935,6.16,1.25,25.33,44.78,130.54,0.0314,9.86
Haveri,1255493,120.62,264.6,66.51,0.486,1.06,1.25,54.01,48.11,117.86,0.0144,10.15
Bellary,1574041,128.82,287.16,53.17,0.4936,2.65,1.25,38.27,50.35,157.75,0.0192,13.99
Chitradurga,1347690,117.04,410.41,62.92,0.4921,1.32,1.25,39.32,54.9,165.55,0.0456,13.41
Davanagere,1329542,119.49,348.24,63.8,0.4923,0.98,1.25,20.48,48.55,159.05,0.0323,12.48
Shimoga,1129026,108.78,570.93,68.27,0.4988,0.0,1.25,8.46,49.1,252.93,0.08,15.97
Udupi,980688,117.91,307.74,77.49,0.5253,14.01,1.25,13.16,44.18,142.02,0.0236,8.95
Chikmagalur,898453,102.91,453.45,69.91,0.5019,0.0,1.25,47.72,52.63,185.32,0.0549,12.9
Tumkur,2096829,104.49,358.49,64.74,0.4958,0.81,1.25,55.66,53.75,167.48,0.0345,12.59
Bangalore,1133616,100.6,4863.46,70.82,0.4633,23.11,1.25,81.85,47.32,1469.31,1.0,85.84
Mandya,1512874,105.33,389.06,61.5,0.4983,1.02,1.25,6.17,49.96,194.52,0.0411,14.18
Hassan,1453696,102.15,419.48,66.65,0.5028,3.72,1.25,12.24,53.94,190.58,0.0476,13.35
Dakshina Kannada,1379283,122.31,366.35,77.36,0.5047,20.72,1.25,2.66,50.85,170.33,0.0362,10.21
Mysore,1896498,107.52,482.47,58.08,0.494,7.42,1.25,30.12,47.2,211.97,0.0611,16.18
Chamarajanagar,845817,103.57,294.27,52.29,0.4977,0.0,1.25,33.39,48.99,151.42,0.0207,14.08
Gulbarga,1755460,138.07,335.13,49.71,0.4933,1.41,1.25,30.04,46.51,155.9,0.0295,15.1
Yadgir,966570,146.9,197.5,39.51,0.4976,1.34,1.25,28.21,48.9,100.89,0.0,14.5
Kolar,1085738,116.13,387.75,61.92,0.4933,2.71,1.25,35.94,51.17,159.67,0.0408,13.26
Chikkaballapura,989826,110.25,461.5,59.7,0.4923,1.6,1.25,92.58,53.98,183.77,0.0566,14.98
Bangalore Rural,749152,109.09,755.92,67.54,0.485,3.6,1.25,0.0,48.34,123.62,0.1197,14.82
Ramanagara,833908,101.95,733.17,59.43,0.4935,2.28,1.25,40.13,51.93,265.14,0.1148,19.6
