district,year,murder,attempt_to_murder,rape,kidnapping,dacoity,robbery,burglary,theft,riots,cheating,dowry_deaths,total_crimes,population,crime_rate_per_100k
Bagalkot,2013,52.0,33.0,30.0,18.0,9.0,22.0,147.0,197.0,292.0,84.0,3.0,2340.0,1334568.0,175.34
Bagalkot,2016,38.0,51.0,453.0,129.0,27.0,5.0,0.0,0.0,0.0,0.0,0.0,2880.0,1334568.0,215.8
Bagalkot,2017,33.0,3.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,1334568.0,93.66
Bagalkot,2018,85.0,4.0,30.0,311.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,4160.0,1334568.0,311.71
Bagalkot,2019,45.0,6.0,29.0,301.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,2869.0,1334568.0,214.98
Bagalkot,2020,59.0,8.0,43.0,319.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,2658.0,1334568.0,199.17
Bagalkot,2021,70.0,5.0,29.0,292.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,2953.0,1334568.0,221.27
Bagalkot,2022,70.0,1.0,24.0,332.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,3057.0,1334568.0,229.06
Bangalore,2013,217.0,442.0,80.0,642.0,40.0,619.0,1404.0,10643.0,362.0,2987.0,52.0,30318.0,1133616.0,2674.45
Bangalore,2016,324.0,814.0,442.0,155.0,380.0,11.0,0.0,0.0,0.0,0.0,0.0,55755.0,1133616.0,4918.33
Bangalore,2017,768.0,158.0,4.0,2.0,467.0,30.0,0.0,0.0,0.0,0.0,0.0,8936.0,1133616.0,788.27
Bangalore,2018,1730.0,222.0,171.0,1132.0,917.0,41.0,0.0,0.0,0.0,0.0,0.0,57860.0,1133616.0,5104.02
Bangalore,2019,1057.0,133.0,218.0,1137.0,430.0,20.0,0.0,0.0,0.0,0.0,0.0,49624.0,1133616.0,4377.5
Bangalore,2020,861.0,161.0,291.0,876.0,334.0,11.0,0.0,0.0,0.0,0.0,0.0,40895.0,1133616.0,3607.48
Bangalore,2021,973.0,170.0,332.0,813.0,485.0,35.0,0.0,0.0,0.0,0.0,0.0,43866.0,1133616.0,3869.56
Bangalore,2022,1241.0,192.0,335.0,1012.0,571.0,42.0,0.0,0.0,0.0,0.0,0.0,55133.0,1133616.0,4863.46
Bangalore Rural,2013,69.0,76.0,57.0,93.0,30.0,129.0,311.0,596.0,246.0,281.0,22.0,5663.0,749152.0,755.92
Belgaum,2013,113.0,103.0,61.0,40.0,8.0,67.0,310.0,472.0,473.0,296.0,7.0,6594.0,3722999.0,177.12
Belgaum,2016,80.0,140.0,1064.0,404.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,6629.0,3722999.0,178.06
Belgaum,2017,74.0,18.0,14.0,135.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,4846.0,3722999.0,130.16
Belgaum,2018,145.0,19.0,74.0,666.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,10370.0,3722999.0,278.54
Belgaum,2019,122.0,25.0,122.0,654.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,7646.0,3722999.0,205.37
Belgaum,2020,122.0,12.0,81.0,608.0,104.0,2.0,0.0,0.0,0.0,0.0,0.0,7343.0,3722999.0,197.23
Belgaum,2021,139.0,17.0,124.0,632.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,8169.0,3722999.0,219.42
Belgaum,2022,124.0,15.0,75.0,788.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,8532.0,3722999.0,229.17
Bellary,2013,57.0,41.0,36.0,58.0,7.0,53.0,177.0,351.0,206.0,214.0,5.0,3269.0,1574041.0,207.68
Bellary,2016,40.0,85.0,790.0,236.0,62.0,5.0,0.0,0.0,0.0,0.0,0.0,4883.0,1574041.0,310.22
Bellary,2017,68.0,10.0,0.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,2229.0,1574041.0,141.61
Bellary,2018,176.0,18.0,35.0,274.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,6115.0,1574041.0,388.49
Bellary,2019,141.0,15.0,27.0,291.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,5284.0,1574041.0,335.7
Bellary,2020,131.0,10.0,23.0,327.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,5478.0,1574041.0,348.02
Bellary,2021,108.0,6.0,19.0,396.0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,6345.0,1574041.0,403.1
Bellary,2022,101.0,5.0,2.0,213.0,103.0,6.0,0.0,0.0,0.0,0.0,0.0,4520.0,1574041.0,287.16
Bidar,2013,40.0,47.0,18.0,34.0,3.0,30.0,107.0,171.0,207.0,53.0,7.0,3963.0,1289247.0,307.39
