district,total_population,male_population,female_population,literate_population,households,total_workers,main_workers,non_workers,urban_population,rural_population,literacy_rate,sex_ratio,female_ratio,urban_pct,work_participation_rate
Belgaum,3722999,1891251,1831748,2250446,753020,1735284,1402231,1987715,154533,3568466,60.45,968.54,0.492,4.15,46.61
Bagalkot,1334568,671701,662867,732091,250636,613549,499708,721019,42662,1291906,54.86,986.85,0.4967,3.2,45.97
Bidar,1289247,657419,631828,747681,242206,570625,441185,718622,11899,1277348,57.99,961.07,0.4901,0.92,44.26
Raichur,1471830,734820,737010,680903,274146,738037,584856,733793,33366,1438464,46.26,1002.98,0.5007,2.27,50.14
Koppal,1174001,591892,582109,663399,221464,574293,439345,599708,17785,1156216,56.51,983.47,0.4958,1.51,48.92
Gadag,685261,347585,337676,429673,139782,346655,294790,338606,0,685261,62.7,971.49,0.4928,0.0,50.59
Dharwad,797484,409416,388068,501954,160674,407220,352687,390264,0,797484,62.94,947.86,0.4866,0.0,51.06
Uttara Kannada,1085019,549554,535465,795353,243666,485839,389578,599180,66831,1018188,73.3,974.36,0.4935,6.16,44.78
Haveri,1255493,645337,610156,835040,260181,604017,493384,651476,13326,1242167,66.51,945.48,0.486,1.06,48.11
Bellary,1574041,797044,776997,836992,305439,792521,677115,781520,41685,1532356,53.17,974.85,0.4936,2.65,50.35
Chitradurga,1347690,684496,663194,848031,287839,739851,566208,607839,17767,1329923,62.92,968.88,0.4921,1.32,54.9
Davanagere,1329542,674974,654568,848264,278153,645553,517311,683989,13055,1316487,63.8,969.77,0.4923,0.98,48.55
Shimoga,1129026,565821,563205,770817,259456,554351,449946,574675,0,1129026,68.27,995.38,0.4988,0.0,49.1
Udupi,980688,465512,515176,759890,207901,433309,386030,547379,137388,843300,77.49,1106.69,0.5253,14.01,44.18
Chikmagalur,898453,447545,450908,628083,218247,472818,398443,425635,0,898453,69.91,1007.51,0.5019,0.0,52.63
Tumkur,2096829,1057132,1039697,1357465,501673,1127009,882581,969820,16927,2079902,64.74,983.51,0.4958,0.81,53.75
Bangalore,1133616,608399,525217,802814,281692,536408,477264,597208,262009,871607,70.82,863.28,0.4633,23.11,47.32
Mandya,1512874,758979,753895,930478,359065,755869,614766,757005,15467,1497407,61.5,993.3,0.4983,1.02,49.96
Hassan,1453696,722756,730940,968847,355735,784180,646283,669516,54038,1399658,66.65,1011.32,0.5028,3.72,53.94
Dakshina Kannada,1379283,683103,696180,1066960,281890,701313,636942,677970,285720,1093563,77.36,1019.14,0.5047,20.72,50.85
Mysore,1896498,959636,936862,1101475,440955,895079,711998,1001419,140784,1755714,58.08,976.27,0.494,7.42,47.2
Chamarajanagar,845817,424884,420933,442260,204137,414393,323531,431424,0,845817,52.29,990.7,0.4977,0.0,48.99
Gulbarga,1755460,889530,865930,872694,317828,816477,624445,938983,24685,1730775,49.71,973.47,0.4933,1.41,46.51
Yadgir,966570,485632,480938,381923,164473,472687,374206,493883,12976,953594,39.51,990.33,0.4976,1.34,48.9
Kolar,1085738,550105,535633,672256,233706,555556,440757,530182,29410,1056328,61.92,973.69,0.4933,2.71,51.17
Chikkaballapura,989826,502522,487304,590894,224433,534284,445190,455542,15841,973985,59.7,969.72,0.4923,1.6,53.98
Bangalore Rural,749152,385825,363327,506006,171656,362152,302952,387000,26973,722179,67.54,941.69,0.485,3.6,48.34
Ramanagara,833908,422376,411532,495589,204456,433027,371567,400881,19031,814877,59.43,974.33,0.4935,2.28,51.93
