cluster_id,district,center_lat,center_lon,risk_score
0,bengaluru urban,12.969611633099376,77.59538938016453,100.0
1,bangalore,13.012366499652142,77.53901578773903,0.22
2,bangalore,12.990619151832314,77.53130794434877,0.14
3,bangalore,13.037923226537552,77.59278537198001,0.59
4,bangalore,12.961381454398802,77.67177742649235,0.33
5,bangalore,12.905398236695401,77.60165842463385,0.26
6,bengaluru urban,12.948906063995407,77.52212166768717,0.38
7,bengaluru urban,12.90033539135781,77.6452156078283,0.26
8,bangalore rural,13.161261610190975,77.71134327869193,0.52
9,bangalore rural,13.162353232182763,77.690809780653,0.26
10,mysore,12.272456493023547,76.64146549762773,0.33
11,mysuru,12.311366535649638,76.61331155508837,0.26
12,mysore,12.297238812781687,76.64534761842378,0.28
13,tumkur,13.326181200987055,77.08003995509424,0.26
