suspect_1,suspect_2,relationship_type,linked_fir_id,weight
SUS-0002,SUS-0007,same_gang,FIR-2024-00001,1
SUS-0002,SUS-0014,associate,FIR-2020-00002,4
SUS-0002,SUS-0016,associate,FIR-2024-00003,5
SUS-0002,SUS-0028,shared_mo,FIR-2022-00004,2
SUS-0002,SUS-0037,shared_mo,FIR-2021-00005,3
SUS-0003,SUS-0009,same_gang,FIR-2023-00006,2
SUS-0003,SUS-0010,shared_mo,FIR-2023-00007,3
SUS-0003,SUS-0028,same_gang,FIR-2026-00008,1
SUS-0003,SUS-0042,same_gang,FIR-2020-00009,4
SUS-0004,SUS-0021,same_gang,FIR-2024-00010,5
SUS-0004,SUS-0023,co_accused,FIR-2020-00011,5
SUS-0004,SUS-0028,same_gang,FIR-2024-00012,3
SUS-0005,SUS-0008,same_gang,FIR-2021-00013,3
SUS-0005,SUS-0010,co_accused,FIR-2021-00014,3
SUS-0005,SUS-0011,shared_mo,FIR-2021-00015,4
SUS-0005,SUS-0037,same_gang,FIR-2026-00016,5
SUS-0006,SUS-0009,same_gang,FIR-2025-00017,3
SUS-0006,SUS-0015,same_gang,FIR-2024-00018,5
SUS-0006,SUS-0017,co_accused,FIR-2025-00019,5
SUS-0006,SUS-0023,shared_mo,FIR-2025-00020,1
SUS-0006,SUS-0024,same_gang,FIR-2021-00021,3
SUS-0006,SUS-0039,co_accused,FIR-2020-00022,5
SUS-0007,SUS-0016,same_gang,FIR-2022-00023,3
SUS-0007,SUS-0033,associate,FIR-2021-00024,3
SUS-0008,SUS-0038,same_gang,FIR-2025-00025,3
SUS-0009,SUS-0035,associate,FIR-2023-00026,3
SUS-0010,SUS-0023,same_gang,FIR-2026-00027,1
SUS-0010,SUS-0041,co_accused,FIR-2025-00028,4
SUS-0010,SUS-0042,shared_mo,FIR-2020-00029,1
SUS-0010,SUS-0043,shared_mo,FIR-2026-00030,2
SUS-0011,SUS-0016,shared_mo,FIR-2021-00031,4
SUS-0011,SUS-0032,same_gang,FIR-2024-00032,4
SUS-0011,SUS-0036,associate,FIR-2020-00033,1
SUS-0011,SUS-0044,same_gang,FIR-2020-00034,2
SUS-0012,SUS-0025,associate,FIR-2020-00035,3
SUS-0012,SUS-0034,associate,FIR-2024-00036,2
SUS-0013,SUS-0021,family,FIR-2021-00037,1
SUS-0013,SUS-0042,shared_mo,FIR-2022-00038,1
SUS-0015,SUS-0024,same_gang,FIR-2022-00039,2
SUS-0015,SUS-0030,same_gang,FIR-2025-00040,1
SUS-0015,SUS-0038,shared_mo,FIR-2026-00041,5
SUS-0016,SUS-0023,same_gang,FIR-2026-00042,4
SUS-0016,SUS-0031,associate,FIR-2025-00043,2
SUS-0016,SUS-0035,same_gang,FIR-2021-00044,2
SUS-0017,SUS-0020,same_gang,FIR-2023-00045,1
SUS-0018,SUS-0021,same_gang,FIR-2025-00046,3
SUS-0019,SUS-0037,family,FIR-2026-00047,2
SUS-0019,SUS-0041,shared_mo,FIR-2021-00048,1
SUS-0019,SUS-0044,family,FIR-2026-00049,1
SUS-0021,SUS-0044,family,FIR-2021-00050,2
SUS-0022,SUS-0031,same_gang,FIR-2026-00051,4
SUS-0023,SUS-0026,shared_mo,FIR-2022-00052,2
SUS-0024,SUS-0042,same_gang,FIR-2021-00053,1
SUS-0025,SUS-0045,same_gang,FIR-2025-00054,2
SUS-0027,SUS-0038,family,FIR-2022-00055,3
SUS-0027,SUS-0044,co_accused,FIR-2026-00056,3
SUS-0028,SUS-0033,shared_mo,FIR-2025-00057,5
SUS-0028,SUS-0042,same_gang,FIR-2023-00058,5
SUS-0031,SUS-0035,shared_mo,FIR-2020-00059,1
SUS-0032,SUS-0040,shared_mo,FIR-2021-00060,5
SUS-0033,SUS-0040,same_gang,FIR-2022-00061,1
SUS-0033,SUS-0041,same_gang,FIR-2020-00062,5
SUS-0034,SUS-0039,family,FIR-2022-00063,3
SUS-0035,SUS-0044,family,FIR-2024-00064,5
SUS-0036,SUS-0040,co_accused,FIR-2023-00065,5
SUS-0037,SUS-0044,same_gang,FIR-2022-00066,1
SUS-0040,SUS-0041,same_gang,FIR-2025-00067,4
SUS-0040,SUS-0042,co_accused,FIR-2024-00068,5
SUS-0041,SUS-0045,same_gang,FIR-2022-00069,4
SUS-0043,SUS-0045,co_accused,FIR-2025-00070,3
