State/UTs_Code,District_Code,CD Block_Code,Town/Village_Code,Ward_Code,EB_Code,State/UTs_Name,District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Worker Population 3_6 Person,Marginal Worker Population 3_6 Male,Marginal Worker Population 3_6 Female,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Female,Marginal Household Industries Population 3_6 Person,Marginal Household Industries Population 3_6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3_6 Person,Marginal Other Workers Population Person 3_6 Male,Marginal Other Workers Population Person 3_6 Female,Marginal Worker Population 0_3 Person,Marginal Worker Population 0_3 Male,Marginal Worker Population 0_3_Female,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3_Female,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Female,Marginal Household Industries Population 0_3 Person,Marginal Household Industries Population 0_3 Male,Marginal Household Industries Population 0_3 Female,Marginal Other Workers Population 0_3 Person,Marginal Other Workers Population 0_3 Male,Marginal Other Workers Population 0_3 Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
29,567,0077,000000,0000,000000,KARNATAKA,Davanagere,CD BLOCK,Harihar ,Total,36056,176723,90013,86710,19542,10174,9368,24224,12208,12016,18702,9456,9246,114136,63748,50388,62587,26265,36322,77903,54891,23012,59314,45434,13880,20709,18791,1918,22835,14326,8509,1544,975,569,14226,11342,2884,18589,9457,9132,1503,769,734,10480,4925,5555,1665,834,831,4941,2929,2012,15852,7986,7866,1403,725,678,9514,4436,5078,1120,577,543,3815,2248,1567,2737,1471,1266,100,44,56,966,489,477,545,257,288,1126,681,445,98820,35122,63698
29,567,0077,000000,0000,000000,KARNATAKA,Davanagere,CD BLOCK,Harihar ,Rural,33324,163668,83306,80362,18086,9441,8645,22295,11254,11041,18171,9185,8986,104695,58538,46157,58973,24768,34205,72971,51060,21911,55462,42242,13220,20371,18464,1907,22506,14070,8436,1448,905,543,11137,8803,2334,17509,8818,8691,1472,740,732,10409,4894,5515,1542,768,774,4086,2416,1670,14824,7367,7457,1372,696,676,9445,4405,5040,1011,511,500,2996,1755,1241,2685,1451,1234,100,44,56,964,489,475,531,257,274,1090,661,429,90697,32246,58451
29,567,0077,000000,0000,000000,KARNATAKA,Davanagere,CD BLOCK,Harihar ,Urban,2732,13055,6707,6348,1456,733,723,1929,954,975,531,271,260,9441,5210,4231,3614,1497,2117,4932,3831,1101,3852,3192,660,338,327,11,329,256,73,96,70,26,3089,2539,550,1080,639,441,31,29,2,71,31,40,123,66,57,855,513,342,1028,619,409,31,29,2,69,31,38,109,66,43,819,493,326,52,20,32,0,0,0,2,0,2,14,0,14,36,20,16,8123,2876,5247
29,567,0077,606204,0000,000000,KARNATAKA,Davanagere,VILLAGE,Huliginahole,Rural,122,600,317,283,72,40,32,26,14,12,131,66,65,389,238,151,211,79,132,240,185,55,217,167,50,94,94,0,117,69,48,0,0,0,6,4,2,23,18,5,5,5,0,17,12,5,0,0,0,1,1,0,23,18,5,5,5,0,17,12,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,132,228
29,567,0077,606205,0000,000000,KARNATAKA,Davanagere,VILLAGE,Ingalagondi,Rural,178,742,368,374,80,44,36,0,0,0,695,341,354,397,243,154,345,125,220,384,248,136,378,246,132,199,160,39,162,78,84,0,0,0,17,8,9,6,2,4,1,1,0,5,1,4,0,0,0,0,0,0,6,2,4,1,1,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,120,238
29,567,0077,606206,0000,000000,KARNATAKA,Davanagere,VILLAGE,Dhulehole,Rural,307,1542,786,756,168,87,81,424,226,198,216,115,101,1006,574,432,536,212,324,786,504,282,735,478,257,165,155,10,498,268,230,6,4,2,66,51,15,51,26,25,6,2,4,3,3,0,30,15,15,12,6,6,46,23,23,6,2,4,2,2,0,29,14,15,9,5,4,5,3,2,0,0,0,1,1,0,1,1,0,3,1,2,756,282,474
29,567,0077,606207,0000,000000,KARNATAKA,Davanagere,VILLAGE,Nandigavi,Rural,303,1430,753,677,116,67,49,231,116,115,79,45,34,1056,611,445,374,142,232,606,469,137,526,416,110,200,191,9,208,117,91,12,11,1,106,97,9,80,53,27,2,2,0,67,42,25,4,4,0,7,5,2,78,51,27,1,1,0,66,41,25,4,4,0,7,5,2,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,824,284,540
29,567,0077,606208,0000,000000,KARNATAKA,Davanagere,VILLAGE,Bilasanur,Rural,291,1373,711,662,108,59,49,128,72,56,203,104,99,959,559,400,414,152,262,818,462,356,599,382,217,150,144,6,238,144,94,110,12,98,101,82,19,219,80,139,17,12,5,102,40,62,24,2,22,76,26,50,185,73,112,16,12,4,91,35,56,22,2,20,56,24,32,34,7,27,1,0,1,11,5,6,2,0,2,20,2,18,555,249,306
29,567,0077,606209,0000,000000,KARNATAKA,Davanagere,VILLAGE,Hosahalli,Rural,164,828,418,410,56,24,32,129,60,69,15,7,8,577,334,243,251,84,167,311,274,37,271,250,21,227,215,12,12,8,4,0,0,0,32,27,5,40,24,16,5,4,1,25,19,6,0,0,0,10,1,9,40,24,16,5,4,1,25,19,6,0,0,0,10,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,144,373
29,567,0077,606210,0000,000000,KARNATAKA,Davanagere,VILLAGE,Kamalapura,Rural,346,1844,976,868,208,121,87,22,10,12,33,18,15,1217,720,497,627,256,371,866,609,257,408,362,46,255,238,17,86,69,17,13,13,0,54,42,12,458,247,211,85,58,27,332,162,170,8,4,4,33,23,10,441,238,203,82,55,27,326,160,166,8,4,4,25,19,6,17,9,8,3,3,0,6,2,4,0,0,0,8,4,4,978,367,611
