State/UTs_Code,District_Code,CD Block_Code,Town/Village_Code,Ward_Code,EB_Code,State/UTs_Name,District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Worker Population 3_6 Person,Marginal Worker Population 3_6 Male,Marginal Worker Population 3_6 Female,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Female,Marginal Household Industries Population 3_6 Person,Marginal Household Industries Population 3_6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3_6 Person,Marginal Other Workers Population Person 3_6 Male,Marginal Other Workers Population Person 3_6 Female,Marginal Worker Population 0_3 Person,Marginal Worker Population 0_3 Male,Marginal Worker Population 0_3_Female,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3_Female,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Female,Marginal Household Industries Population 0_3 Person,Marginal Household Industries Population 0_3 Male,Marginal Household Industries Population 0_3 Female,Marginal Other Workers Population 0_3 Person,Marginal Other Workers Population 0_3 Male,Marginal Other Workers Population 0_3 Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
29,579,0148,000000,0000,000000,KARNATAKA,Gulbarga,CD BLOCK,Aland ,Total,54128,299836,154167,145669,41000,21176,19824,79777,41251,38526,6508,3275,3233,160854,96790,64064,138982,57377,81605,144724,84115,60609,108469,70562,37907,34912,27790,7122,51232,26106,25126,1861,1202,659,20464,15464,5000,36255,13553,22702,1932,835,1097,26921,8887,18034,1089,457,632,6313,3374,2939,32497,11888,20609,1524,672,852,25426,8372,17054,852,356,496,4695,2488,2207,3758,1665,2093,408,163,245,1495,515,980,237,101,136,1618,886,732,155112,70052,85060
29,579,0148,000000,0000,000000,KARNATAKA,Gulbarga,CD BLOCK,Aland ,Rural,54128,299836,154167,145669,41000,21176,19824,79777,41251,38526,6508,3275,3233,160854,96790,64064,138982,57377,81605,144724,84115,60609,108469,70562,37907,34912,27790,7122,51232,26106,25126,1861,1202,659,20464,15464,5000,36255,13553,22702,1932,835,1097,26921,8887,18034,1089,457,632,6313,3374,2939,32497,11888,20609,1524,672,852,25426,8372,17054,852,356,496,4695,2488,2207,3758,1665,2093,408,163,245,1495,515,980,237,101,136,1618,886,732,155112,70052,85060
29,579,0148,000000,0000,000000,KARNATAKA,Gulbarga,CD BLOCK,Aland ,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,579,0148,619952,0000,000000,KARNATAKA,Gulbarga,VILLAGE,Jamga Khandala,Rural,188,1215,634,581,191,100,91,756,409,347,30,12,18,579,362,217,636,272,364,671,361,310,369,272,97,260,199,61,69,40,29,1,1,0,39,32,7,302,89,213,128,12,116,162,68,94,0,0,0,12,9,3,290,86,204,122,11,111,158,67,91,0,0,0,10,8,2,12,3,9,6,1,5,4,1,3,0,0,0,2,1,1,544,273,271
29,579,0148,619953,0000,000000,KARNATAKA,Gulbarga,VILLAGE,Tadola,Rural,496,2568,1298,1270,296,141,155,716,365,351,1,0,1,1448,848,600,1120,450,670,1114,731,383,872,634,238,365,318,47,396,216,180,9,7,2,102,93,9,242,97,145,36,14,22,195,76,119,2,0,2,9,7,2,192,76,116,23,8,15,163,64,99,0,0,0,6,4,2,50,21,29,13,6,7,32,12,20,2,0,2,3,3,0,1454,567,887
29,579,0148,619954,0000,000000,KARNATAKA,Gulbarga,VILLAGE,Alanga,Rural,500,2571,1309,1262,275,133,142,281,153,128,7,4,3,1531,881,650,1040,428,612,1296,761,535,1237,731,506,418,283,135,683,362,321,20,6,14,116,80,36,59,30,29,9,6,3,40,18,22,1,0,1,9,6,3,56,28,28,9,6,3,38,17,21,1,0,1,8,5,3,3,2,1,0,0,0,2,1,1,0,0,0,1,1,0,1275,548,727
29,579,0148,619955,0000,000000,KARNATAKA,Gulbarga,VILLAGE,Sirur (G),Rural,233,1378,732,646,187,85,102,240,123,117,63,32,31,836,527,309,542,205,337,800,424,376,550,411,139,156,143,13,369,248,121,0,0,0,25,20,5,250,13,237,1,1,0,240,4,236,1,0,1,8,8,0,244,10,234,1,1,0,238,4,234,0,0,0,5,5,0,6,3,3,0,0,0,2,0,2,1,0,1,3,3,0,578,308,270
29,579,0148,619956,0000,000000,KARNATAKA,Gulbarga,VILLAGE,Gadlegaon,Rural,123,686,374,312,73,38,35,250,145,105,0,0,0,470,282,188,216,92,124,260,191,69,218,184,34,29,29,0,157,132,25,0,0,0,32,23,9,42,7,35,1,0,1,34,3,31,0,0,0,7,4,3,42,7,35,1,0,1,34,3,31,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,183,243
29,579,0148,619957,0000,000000,KARNATAKA,Gulbarga,VILLAGE,Khajuri,Rural,1215,6744,3472,3272,941,508,433,912,457,455,9,5,4,3650,2160,1490,3094,1312,1782,3260,1906,1354,2484,1678,806,1110,892,218,979,494,485,120,90,30,275,202,73,776,228,548,31,12,19,623,157,466,24,15,9,98,44,54,714,201,513,27,12,15,593,142,451,17,12,5,77,35,42,62,27,35,4,0,4,30,15,15,7,3,4,21,9,12,3484,1566,1918
29,579,0148,619958,0000,000000,KARNATAKA,Gulbarga,VILLAGE,Jawalga (J),Rural,322,1707,884,823,248,137,111,542,271,271,57,30,27,927,556,371,780,328,452,947,519,428,629,378,251,219,176,43,310,116,194,7,5,2,93,81,12,318,141,177,23,17,6,243,98,145,14,7,7,38,19,19,298,132,166,21,17,4,237,96,141,13,6,7,27,13,14,20,9,11,2,0,2,6,2,4,1,1,0,11,6,5,760,365,395
29,579,0148,619959,0000,000000,KARNATAKA,Gulbarga,VILLAGE,Tugaon,Rural,174,837,434,403,84,45,39,222,123,99,27,11,16,528,301,227,309,133,176,400,229,171,315,181,134,134,79,55,147,72,75,0,0,0,34,30,4,85,48,37,3,2,1,69,36,33,2,1,1,11,9,2,73,37,36,3,2,1,63,31,32,1,0,1,6,4,2,12,11,1,0,0,0,6,5,1,1,1,0,5,5,0,437,205,232
29,579,0148,619960,0000,000000,KARNATAKA,Gulbarga,VILLAGE,Annur,Rural,247,1248,659,589,149,88,61,295,164,131,69,36,33,735,436,299,513,223,290,660,353,307,595,325,270,146,92,54,383,184,199,1,0,1,65,49,16,65,28,37,16,8,8,31,9,22,1,1,0,17,10,7,43,12,31,11,4,7,23,4,19,1,1,0,8,3,5,22,16,6,5,4,1,8,5,3,0,0,0,9,7,2,588,306,282
29,579,0148,619961,0000,000000,KARNATAKA,Gulbarga,VILLAGE,Hodlur,Rural,528,2697,1373,1324,305,164,141,361,191,170,4,2,2,1806,1027,779,891,346,545,1203,755,448,691,620,71,363,348,15,175,146,29,13,12,1,140,114,26,512,135,377,6,3,3,472,111,361,1,1,0,33,20,13,491,130,361,6,3,3,454,108,346,1,1,0,30,18,12,21,5,16,0,0,0,18,3,15,0,0,0,3,2,1,1494,618,876
29,579,0148,619962,0000,000000,KARNATAKA,Gulbarga,VILLAGE,Subhashnagar,Rural,164,1057,557,500,197,94,103,1055,556,499,1,0,1,408,276,132,649,281,368,486,287,199,350,253,97,141,100,41,117,81,36,2,1,1,90,71,19,136,34,102,41,7,34,91,24,67,0,0,0,4,3,1,65,22,43,19,6,13,42,13,29,0,0,0,4,3,1,71,12,59,22,1,21,49,11,38,0,0,0,0,0,0,571,270,301
29,579,0148,619963,0000,000000,KARNATAKA,Gulbarga,VILLAGE,Nandgur,Rural,97,500,262,238,56,28,28,152,87,65,0,0,0,294,185,109,206,77,129,278,148,130,252,136,116,42,40,2,189,85,104,0,0,0,21,11,10,26,12,14,0,0,0,20,7,13,0,0,0,6,5,1,26,12,14,0,0,0,20,7,13,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,114,108
29,579,0148,619964,0000,000000,KARNATAKA,Gulbarga,VILLAGE,Kotanhipperga,Rural,305,1699,912,787,182,91,91,178,96,82,0,0,0,1184,733,451,515,179,336,1025,539,486,1006,531,475,11,7,4,966,502,464,13,10,3,16,12,4,19,8,11,0,0,0,16,6,10,3,2,1,0,0,0,18,7,11,0,0,0,15,5,10,3,2,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,674,373,301
29,579,0148,619965,0000,000000,KARNATAKA,Gulbarga,VILLAGE,Jamga Ruderwadi,Rural,382,1766,869,897,207,100,107,502,256,246,0,0,0,1042,601,441,724,268,456,974,509,465,608,463,145,251,231,20,273,163,110,11,11,0,73,58,15,366,46,320,69,19,50,286,21,265,4,2,2,7,4,3,200,10,190,27,1,26,164,5,159,4,2,2,5,2,3,166,36,130,42,18,24,122,16,106,0,0,0,2,2,0,792,360,432
29,579,0148,619966,0000,000000,KARNATAKA,Gulbarga,VILLAGE,Rudrawadi,Rural,573,3004,1506,1498,360,182,178,699,344,355,57,29,28,1727,1006,721,1277,500,777,1633,885,748,1036,622,414,461,291,170,458,235,223,14,13,1,103,83,20,597,263,334,7,1,6,571,252,319,2,2,0,17,8,9,585,258,327,6,1,5,561,247,314,2,2,0,16,8,8,12,5,7,1,0,1,10,5,5,0,0,0,1,0,1,1371,621,750
29,579,0148,619967,0000,000000,KARNATAKA,Gulbarga,VILLAGE,Bableshwar,Rural,124,884,474,410,102,57,45,228,118,110,65,32,33,399,255,144,485,219,266,508,277,231,6,4,2,0,0,0,1,0,1,0,0,0,5,4,1,502,273,229,5,3,2,496,270,226,0,0,0,1,0,1,498,271,227,5,3,2,493,268,225,0,0,0,0,0,0,4,2,2,0,0,0,3,2,1,0,0,0,1,0,1,376,197,179
