DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGALKOT,2013,52,33,1,30,0,30,18,11,7,9,5,22,147,197,113,84,292,4,84,0,7,231,3,86,2,46,0,0,1071,2340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANGALORE COMMR.,2013,217,442,26,80,0,80,642,538,104,40,425,619,1404,10643,5356,5287,362,133,2987,33,16,3132,52,378,73,482,0,160,7972,30318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANGALORE RURAL,2013,69,76,3,57,0,57,93,85,8,30,7,129,311,596,305,291,246,35,281,1,10,562,22,130,0,112,0,24,2869,5663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELGAUM,2013,113,103,0,61,0,61,40,25,15,8,4,67,310,472,268,204,473,20,296,0,16,775,7,246,12,200,0,36,3335,6594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELLARY,2013,57,41,0,36,0,36,58,23,35,7,1,53,177,351,205,146,206,25,214,0,3,414,5,99,0,58,0,3,1461,3269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIDAR,2013,40,47,7,18,0,18,34,31,3,3,2,30,107,171,75,96,207,4,53,3,15,941,7,82,9,112,0,13,2058,3963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIJAPUR,2013,66,45,3,28,0,28,37,21,16,6,4,27,118,145,84,61,205,4,54,0,11,383,2,94,0,92,0,0,1245,2569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBPURA,2013,43,32,12,33,0,33,26,16,10,1,0,26,76,211,92,119,228,23,56,1,0,472,17,57,0,51,0,0,1007,2372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMARAJNAGAR,2013,27,63,4,16,0,16,17,15,2,5,0,11,54,137,58,79,141,3,41,0,3,515,4,95,0,25,0,0,705,1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICKMAGALUR,2013,38,37,6,21,1,20,36,36,0,7,0,20,106,162,75,87,154,13,71,1,0,577,7,141,0,69,0,0,1292,2758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHITRADURGA,2013,31,42,1,31,0,31,28,27,1,4,1,25,130,213,98,115,193,7,62,0,17,782,7,178,0,64,0,4,2150,3970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAKSHIN KANNADA,2013,17,24,0,14,0,14,17,15,2,6,1,29,109,100,33,67,164,1,52,0,11,292,0,72,2,45,0,5,1089,2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVANAGERE,2013,33,23,2,33,0,33,31,21,10,7,7,58,180,397,199,198,352,30,93,2,3,641,14,167,5,127,0,12,1626,3843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHARWAD COMMR.,2013,19,50,0,16,0,16,99,75,24,7,7,65,184,393,201,192,157,14,180,1,9,221,4,37,5,85,0,9,881,2443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHARWAD RURAL,2013,25,42,2,18,0,18,13,0,13,1,0,5,38,54,18,36,85,8,19,0,5,146,1,34,0,27,0,4,711,1238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GADAG,2013,24,25,0,18,0,18,13,10,3,1,0,12,39,75,39,36,104,2,27,0,5,130,1,40,0,36,0,140,400,1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GULBARGA,2013,88,118,7,54,0,54,60,46,14,13,12,62,195,274,129,145,470,4,79,1,19,781,8,125,0,122,0,18,2014,4524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HASSAN,2013,57,92,4,61,0,61,57,47,10,3,1,52,224,415,227,188,170,12,114,2,19,1275,12,182,0,157,0,0,2524,5433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVERI,2013,16,31,0,18,0,18,14,0,14,5,1,20,76,145,81,64,254,12,49,0,0,251,1,80,0,55,0,239,890,2157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.G.F.,2013,12,31,0,23,0,23,12,7,5,3,0,15,67,62,30,32,50,0,29,0,0,151,6,13,0,15,0,0,333,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KODAGU,2013,30,33,1,26,0,26,23,17,6,3,0,17,107,128,25,103,48,3,54,0,2,462,2,40,2,41,0,3,682,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLAR,2013,45,43,0,20,0,20,10,9,1,5,0,50,99,187,71,116,251,2,75,0,8,327,3,25,0,25,0,14,1086,2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOPPAL,2013,22,14,0,22,0,22,14,0,14,3,0,7,49,84,53,31,138,3,54,0,0,206,0,39,0,59,0,0,1018,1732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
